Accession	Sample Name	SPUID	Organism	Tax ID	Strain	Breed	Cultivar	Isolate	BioProject
SAMN13545925	ETA_001	ETA_001	Myrmoborus lugubris berlepschi	2684373	not applicable	not applicable	not applicable	not applicable	PRJNA595086
SAMN13545926	ETA_002	ETA_002	Myrmoborus lugubris berlepschi	2684373	not applicable	not applicable	not applicable	not applicable	PRJNA595086
SAMN13545927	ETA_004	ETA_004	Myrmoborus lugubris berlepschi	2684373	not applicable	not applicable	not applicable	not applicable	PRJNA595086
SAMN13545928	ETA_009	ETA_009	Myrmoborus lugubris berlepschi	2684373	not applicable	not applicable	not applicable	not applicable	PRJNA595086
SAMN13545929	ETA_052	ETA_052	Myrmoborus lugubris berlepschi	2684373	not applicable	not applicable	not applicable	not applicable	PRJNA595086
SAMN13545930	ETA_053	ETA_053	Myrmoborus lugubris berlepschi	2684373	not applicable	not applicable	not applicable	not applicable	PRJNA595086
SAMN13545931	ETA_073	ETA_073	Myrmoborus lugubris berlepschi	2684373	not applicable	not applicable	not applicable	not applicable	PRJNA595086
SAMN13545932	ETA_074	ETA_074	Myrmoborus lugubris berlepschi	2684373	not applicable	not applicable	not applicable	not applicable	PRJNA595086
SAMN13545933	ETA_093	ETA_093	Myrmoborus lugubris berlepschi	2684373	not applicable	not applicable	not applicable	not applicable	PRJNA595086
SAMN13545934	ETA_094	ETA_094	Myrmoborus lugubris berlepschi	2684373	not applicable	not applicable	not applicable	not applicable	PRJNA595086
SAMN13545935	ETA_096	ETA_096	Myrmoborus lugubris berlepschi	2684373	not applicable	not applicable	not applicable	not applicable	PRJNA595086
SAMN13545936	ETA_114	ETA_114	Myrmoborus lugubris berlepschi	2684373	not applicable	not applicable	not applicable	not applicable	PRJNA595086
SAMN13545937	ETA_115	ETA_115	Myrmoborus lugubris berlepschi	2684373	not applicable	not applicable	not applicable	not applicable	PRJNA595086
SAMN13545938	ETA_162	ETA_162	Myrmoborus lugubris berlepschi	2684373	not applicable	not applicable	not applicable	not applicable	PRJNA595086
SAMN13545939	ETA_163	ETA_163	Myrmoborus lugubris berlepschi	2684373	not applicable	not applicable	not applicable	not applicable	PRJNA595086
SAMN13545940	ETA_164	ETA_164	Myrmoborus lugubris berlepschi	2684373	not applicable	not applicable	not applicable	not applicable	PRJNA595086
SAMN13545941	ETA_165	ETA_165	Myrmoborus lugubris berlepschi	2684373	not applicable	not applicable	not applicable	not applicable	PRJNA595086
SAMN13545942	ETA_166	ETA_166	Myrmoborus lugubris berlepschi	2684373	not applicable	not applicable	not applicable	not applicable	PRJNA595086
SAMN13545943	ETA_194	ETA_194	Myrmoborus lugubris berlepschi	2684373	not applicable	not applicable	not applicable	not applicable	PRJNA595086
